Customer_ID,No_of_orders_placed,Category_of_customers,Maximum_bill,Minimum_bill,Last_order_placed_date,No_of_issues_raised,Customer_rating,Average_food_rating,Average_happiness_rating,Coupon_consumption_status,Coupons_offered,Premium_membership,Discount_percentage
CUS0x4c0d,99.0,Inactive,1549.05,79.0,05/31/2015 08:40 PM,,3,4,3,99,119,No,33
CUS0x7d45,5.0,Inactive,3682.21,124.69,06/29/2015 11:15 PM,5,4,4,4,5,18,No,31
CUS0x68c1,181.0,Inactive,729.08,297.79,04/29/2016 06:43 AM,44,4,3,4,152,245,No,43
CUS0x1c6e,196.0,Passive,1558.58,102.92,10/18/2019 02:47 PM,49,4,3,3,85,302,No,41
CUS0x286f,211.0,Active,1260.48,291.54,11/13/2020 12:57 PM,43,4,3,4,120,306,No,48
CUS0x5f0e,215.0,Passive,2985.39,119.03,04/30/2018 10:58 AM,8,3,4,5,115,284,No,44
CUS0x2168,86.0,Inactive,1180.82,266.0,08/06/2016 11:48 AM,,4,4,4,86,109,No,26
CUS0x7890,6.0,Passive,3097.47,200.49,05/29/2018 01:05 PM,6,4,3,3,6,39,No,47
CUS0x492d,193.0,Active,1405.06,276.98,09/29/2020 04:07 AM,28,4,4,5,101,245,0,46
CUS0x2e0a,81.0,,1079.59,88.0,05/19/2016 08:26 PM,48,3,5,4,81,115,No,28
CUS0x2e39,,Inactive,1048.55,257.47,,,4,4,4,23,252,0,35
CUS0x19c,199.0,Inactive,1276.68,196.04,,,4,5,5,170,255,No,33
CUS0x4366,158.0,,1775.0,-99.0,03/06/2020 11:52 AM,18,4,4,2,144,236,No,38
CUS0x5f1,217.0,Inactive,1109.7,-99.0,10/29/2017 01:03 PM,55,,2,5,141,263,No,46
CUS0x70a9,171.0,Active,3485.37,324.21,06/18/2020 04:19 AM,22,3,5,3,90,224,No,42
CUS0xf6d,,Passive,1800.84,252.26,11/10/2018 08:58 PM,59,4,2,5,143,282,No,45
CUS0x322e,11.0,Inactive,1018.83,-99.0,,11,2,3,5,11,33,No,24
CUS0x52c0,203.0,Inactive,455.68,166.54,09/08/2016 10:48 AM,8,4,1,5,94,261,No,40
CUS0x761b,86.0,Inactive,1321.76,106.0,07/23/2016 10:27 PM,7,3,4,3,43,106,Yes,22
CUS0x700c,194.0,Inactive,2444.22,331.24,05/21/2015 07:05 AM,20,3,4,3,122,270,No,23
CUS0x6a86,219.0,Inactive,3022.1,184.88,06/29/2015 03:36 AM,52,4,4,4,36,324,No,37
CUS0x808a,46.0,Inactive,3317.6,230.84,10/07/2015 12:56 PM,44,4,5,3,46,60,No,29
CUS0x5e5a,79.0,Passive,2060.52,184.0,09/24/2018 01:19 PM,2,4,3,5,79,97,No,25
CUS0x7173,206.0,Passive,3131.08,154.01,01/18/2019 06:57 AM,39,3,4,3,53,263,No,27
CUS0x31f3,220.0,Passive,1903.97,194.11,03/14/2019 06:25 AM,53,,4,4,101,338,No,46
CUS0x48e5,236.0,Active,2759.91,-99.0,08/28/2020 11:05 AM,,,4,4,118,322,No,31
CUS0x34c9,220.0,Inactive,2081.12,314.29,,16,4,4,4,134,287,Yes,52
CUS0x820,38.0,,1066.86,111.86,05/16/2018 02:00 PM,,,4,2,38,70,No,41
CUS0x61c1,111.0,Inactive,2426.31,101.63,10/01/2016 06:07 AM,29,5,4,4,111,152,No,33
CUS0x3a75,94.0,Passive,2033.06,-99.0,,52,4,4,4,32,121,No,-99
CUS0x162b,22.0,Inactive,2787.26,106.66,06/09/2017 11:40 AM,22,4,3,5,22,35,No,22
CUS0x7d76,160.0,Active,2398.13,117.95,01/09/2020 07:07 AM,5,4,4,4,78,231,No,40
CUS0x623f,206.0,Passive,2842.16,288.85,08/18/2018 03:48 AM,29,3,4,5,103,294,No,30
CUS0x4538,41.0,Passive,1839.0,76.21,01/25/2019 08:08 PM,37,4,4,4,41,52,No,52
CUS0x335d,127.0,Inactive,2874.91,-99.0,04/08/2016 12:26 AM,4,4,1,5,63,188,No,47
CUS0x24cd,53.0,Inactive,1983.75,279.0,05/09/2015 07:47 AM,47,,4,5,53,87,No,21
CUS0x4818,175.0,Inactive,706.22,171.27,03/04/2017 05:02 PM,25,4,4,4,100,236,No,0
CUS0x4a80,232.0,Inactive,1331.25,154.65,,,2,4,4,48,325,Yes,48
CUS0x4cb3,,Inactive,941.38,183.4,,20,4,4,3,20,41,No,32
CUS0x87,236.0,Passive,1488.36,288.57,,6,4,5,4,64,320,Yes,52
CUS0x5062,31.0,Inactive,900.13,130.64,10/17/2016 04:15 AM,28,4,4,4,31,46,No,33
CUS0x238f,50.0,Passive,1336.72,128.29,12/22/2018 12:35 AM,50,,4,4,25,85,No,58
CUS0x3851,22.0,Inactive,2916.25,187.96,,22,4,3,4,22,33,No,21
CUS0x6bee,40.0,Passive,1430.99,147.73,10/21/2019 01:16 AM,35,5,3,5,36,65,No,52
CUS0x6b44,35.0,Inactive,457.16,131.48,07/07/2016 03:53 AM,29,3,4,4,35,60,No,31
CUS0x6990,218.0,Inactive,2274.98,300.14,06/08/2017 11:22 PM,39,4,2,4,160,331,No,31
CUS0x362d,24.0,Inactive,3499.58,192.24,10/02/2017 10:35 PM,13,4,4,4,24,46,Yes,33
CUS0x59d8,123.0,Passive,1791.24,162.0,07/14/2019 03:52 PM,19,4,5,4,45,164,No,48
CUS0x5669,198.0,Inactive,2302.63,292.96,11/30/2017 12:25 PM,42,4,3,4,140,255,No,33
CUS0x3a5e,,Active,1265.98,145.79,10/02/2020 05:25 PM,12,4,4,4,12,25,No,46
CUS0x3dc1,,Inactive,1743.25,188.68,02/28/2017 03:04 AM,30,5,2,4,30,59,No,28
CUS0x1e6b,170.0,Passive,3165.64,-99.0,06/14/2019 05:08 PM,23,4,4,3,41,242,No,36
CUS0x5f76,33.0,Inactive,2761.13,171.55,10/05/2017 03:46 PM,33,4,3,2,33,52,No,30
CUS0x6268,160.0,Passive,965.49,179.03,08/15/2018 03:03 PM,51,3,3,4,77,233,No,41
CUS0x4b34,173.0,Inactive,1354.0,332.34,10/04/2015 07:45 AM,40,4,2,3,24,242,No,-99
CUS0x251c,135.0,Inactive,1316.91,235.71,12/29/2017 04:08 PM,19,4,4,4,34,238,No,31
CUS0xf51,,Inactive,547.64,97.0,07/13/2016 02:59 AM,33,,4,4,72,106,0,24
CUS0x258b,22.0,,1289.33,75.46,12/20/2017 01:27 AM,22,4,2,4,22,37,Yes,26
CUS0xa1c,85.0,Active,999.76,239.0,07/24/2020 03:54 AM,44,4,4,4,42,103,Yes,41
CUS0x561f,201.0,Active,2538.4,102.81,02/23/2021 04:50 PM,37,4,4,5,24,272,Yes,52
CUS0x1555,19.0,Inactive,2366.56,134.66,,10,4,4,5,19,39,No,32
CUS0x5faa,117.0,Inactive,3136.87,134.9,09/27/2017 05:47 PM,1,3,4,5,41,189,No,38
CUS0x3c5b,197.0,Inactive,2557.31,210.43,07/15/2015 07:13 PM,22,3,4,3,158,285,0,22
CUS0x1a62,,,3234.59,179.45,12/20/2019 11:43 PM,9,4,5,4,36,66,No,48
CUS0x5288,79.0,Active,2044.07,83.0,02/22/2021 04:06 AM,24,4,4,5,79,110,No,45
CUS0x17b2,172.0,Passive,2438.37,230.23,01/23/2019 05:09 PM,47,4,5,5,131,260,No,37
CUS0x6d1f,45.0,Active,2860.35,82.26,10/07/2020 03:48 AM,30,4,4,3,45,58,No,57
CUS0x7772,242.0,Active,2279.18,317.26,02/05/2020 08:02 AM,24,4,4,4,107,310,No,39
CUS0x5a26,211.0,Inactive,2395.3,295.65,05/02/2015 09:43 AM,25,4,2,4,169,327,No,42
CUS0x17e,9.0,Inactive,1364.7,204.4,12/02/2017 01:26 PM,9,4,4,2,9,21,No,20
CUS0x55a8,18.0,Inactive,3376.94,88.26,01/03/2017 03:23 PM,18,2,4,4,18,37,Yes,22
CUS0x2ca7,10.0,Passive,3166.26,171.27,07/24/2018 08:01 PM,10,,3,4,10,36,No,45
CUS0x7b6b,64.0,Passive,719.72,204.0,12/14/2019 01:24 PM,41,4,4,4,64,94,Yes,23
CUS0x494d,20.0,Inactive,,183.38,08/03/2016 04:50 PM,10,4,4,2,20,43,Yes,34
CUS0x1b79,,Inactive,2209.16,209.61,,24,5,3,2,96,315,No,35
CUS0x2e32,,Passive,3423.33,263.63,11/14/2018 03:05 PM,5,4,4,4,132,241,No,47
CUS0x3d8b,,Passive,3501.44,281.77,08/07/2018 02:55 AM,47,4,5,4,116,184,Yes,43
CUS0x3ecf,207.0,Passive,625.13,136.86,12/30/2018 01:46 PM,46,4,5,2,55,318,No,43
CUS0x6c83,232.0,Passive,2134.73,115.68,04/07/2018 11:33 PM,3,5,3,4,128,294,Yes,42
CUS0x7fe1,193.0,Passive,1474.91,279.16,12/02/2019 01:16 AM,58,4,4,4,94,245,No,40
CUS0x4840,,Inactive,1328.56,88.0,10/03/2016 12:20 AM,44,3,4,4,88,101,No,22
CUS0x333c,120.0,Passive,1688.46,319.18,,59,4,3,4,111,237,No,35
CUS0x27a5,144.0,Passive,2498.67,-99.0,,52,4,4,3,144,233,No,40
CUS0x27eb,160.0,Passive,2783.75,269.66,06/14/2018 02:48 AM,35,4,4,4,29,228,0,54
CUS0x1264,,Inactive,3112.29,77.46,07/22/2017 12:55 AM,24,3,4,4,24,45,No,34
CUS0x7fff,207.0,Inactive,1512.0,120.39,04/20/2016 06:00 AM,57,3,5,2,58,260,No,28
CUS0xf3f,210.0,Inactive,3222.77,101.36,07/04/2016 12:53 PM,34,5,,4,27,258,Yes,59
CUS0x22b1,7.0,Active,1961.48,141.43,12/05/2020 04:31 AM,,4,4,5,7,24,0,51
CUS0x801e,114.0,Inactive,2116.48,309.79,02/17/2017 08:17 AM,15,4,4,4,114,224,No,30
CUS0x1865,246.0,Inactive,3262.85,115.02,,19,4,3,4,58,295,Yes,46
CUS0x70e,137.0,Inactive,566.53,154.71,10/19/2016 12:47 PM,26,4,5,4,64,254,Yes,46
CUS0x595a,106.0,Inactive,3669.85,267.98,03/20/2017 11:18 AM,44,4,4,4,106,147,No,40
CUS0x4431,6.0,Passive,3281.29,239.47,07/24/2019 07:39 PM,6,,2,4,6,22,No,45
CUS0x80a5,218.0,Passive,892.31,161.25,11/24/2019 11:38 AM,24,4,5,4,35,316,No,46
CUS0x5f7a,138.0,Inactive,3447.32,169.13,08/06/2017 01:46 AM,48,4,4,4,75,226,No,46
CUS0x5943,136.0,Passive,1618.57,305.66,06/21/2019 05:08 PM,28,4,2,3,108,178,No,49
CUS0x700b,43.0,Active,1079.05,125.6,01/19/2021 04:36 AM,21,4,4,2,43,68,No,49
CUS0x724e,31.0,Passive,939.89,113.79,04/09/2019 06:38 AM,12,4,4,4,31,45,No,36
CUS0x784,42.0,,3054.18,148.67,,19,,3,3,42,67,No,20
CUS0x4f0e,123.0,Active,1492.35,341.58,01/04/2021 07:16 PM,36,4,4,4,64,231,No,49
CUS0x22f7,184.0,Active,522.88,301.13,12/21/2020 11:05 PM,45,4,4,5,133,273,No,37
CUS0x1c10,246.0,Inactive,1495.53,90.75,,49,5,5,4,69,333,No,32
CUS0x63b8,6.0,Inactive,1926.22,77.9,10/24/2015 02:41 AM,6,4,3,4,6,32,No,27
CUS0x5114,200.0,Passive,3601.88,295.65,05/14/2019 07:18 PM,45,4,2,4,89,296,No,36
CUS0x5d30,140.0,Inactive,3678.29,214.76,11/28/2015 12:56 PM,35,5,4,4,66,196,No,31
CUS0x7d,135.0,Inactive,2756.73,221.3,11/08/2017 10:51 AM,19,4,4,3,42,183,No,48
CUS0x21e7,100.0,Active,1703.02,-99.0,02/07/2021 03:29 AM,29,4,4,2,100,126,No,-99
CUS0x4305,,Passive,907.16,-99.0,12/25/2018 06:24 AM,55,3,4,4,27,114,No,44
CUS0x215a,144.0,,1547.75,139.5,09/26/2020 08:28 AM,59,5,4,4,132,255,No,40
CUS0x1f14,208.0,Passive,1851.07,-99.0,09/03/2018 04:52 PM,8,,4,4,36,313,No,45
CUS0x2642,205.0,,2295.55,89.94,02/27/2017 06:59 AM,31,4,4,4,128,284,No,37
CUS0x2077,131.0,Inactive,1047.9,141.34,,40,,3,4,34,242,No,47
CUS0x61cc,38.0,Inactive,3558.74,139.25,07/28/2017 02:12 PM,9,4,4,4,38,49,No,27
CUS0x71ca,60.0,Passive,1985.61,130.0,11/28/2018 05:19 PM,50,4,4,4,59,94,No,23
CUS0x72e2,97.0,Inactive,735.3,118.0,11/05/2015 11:23 PM,38,4,4,4,64,119,No,29
CUS0x3e4f,81.0,Passive,2310.03,157.0,06/25/2019 06:02 AM,12,4,2,3,31,115,Yes,27
CUS0x6901,28.0,Passive,668.44,183.06,12/03/2018 09:37 PM,28,3,4,2,24,56,Yes,27
CUS0x7197,69.0,Active,1082.58,247.0,06/13/2020 04:27 AM,30,4,3,4,31,104,Yes,46
CUS0x659d,204.0,Active,1672.65,149.06,03/13/2020 06:14 PM,30,4,4,4,40,250,No,30
CUS0x23b4,10.0,Passive,3244.55,216.52,06/19/2018 08:44 PM,10,,3,3,10,26,No,45
CUS0x2f1f,,,951.03,331.25,11/23/2018 06:58 AM,45,5,3,4,78,240,No,36
